[Gen:035/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=40.7, max=45) | BestSensors=23 (corner=8)
[Profile Gen 035] fitness=1.740s | selection=0.000s | repro=1.003s (crossover=0.196s, mutation=0.806s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.154s | prefix=0.100s | score=0.009s | pop=100 

[Gen:036/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=40.8, max=45) | BestSensors=23 (corner=8)
[Profile Gen 036] fitness=1.776s | selection=0.000s | repro=1.085s (crossover=0.220s, mutation=0.865s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.152s | prefix=0.100s | score=0.009s | pop=100 

[Gen:037/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=40.4, max=45) | BestSensors=23 (corner=8)
[Profile Gen 037] fitness=1.852s | selection=0.000s | repro=0.961s (crossover=0.196s, mutation=0.764s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.151s | prefix=0.098s | score=0.009s | pop=100 

[Gen:038/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=40.3, max=45) | BestSensors=23 (corner=8)
[Profile Gen 038] fitness=1.855s | selection=0.000s | repro=1.128s (crossover=0.192s, mutation=0.936s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.151s | prefix=0.100s | score=0.009s | pop=100 

[Gen:039/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=40.0, max=45) | BestSensors=23 (corner=8)
[Profile Gen 039] fitness=1.836s | selection=0.000s | repro=1.038s (crossover=0.207s, mutation=0.830s) | calls: crossover~100, mutation~70.0
